,open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date,date_str
96,210.47,217.535,210.15,216.82,54286831.0,217.54,210.15,216.82,210.47,54731101.0,1.0,0.0,AMZN,XNAS,2026-03-04 00:00:00+00:00,Mar 04
91,215.98,220.47,215.59,218.94,60834400.0,220.47,215.59,218.94,215.98,60943447.0,1.0,0.0,AMZN,XNAS,2026-03-05 00:00:00+00:00,Mar 05
86,214.99,217.32,212.535,213.21,50910303.0,217.32,212.53,213.21,214.99,51152716.0,1.0,0.0,AMZN,XNAS,2026-03-06 00:00:00+00:00,Mar 06
81,210.46,213.82,207.11,213.49,53488342.0,213.82,207.11,213.49,210.45,54642926.0,1.0,0.0,AMZN,XNAS,2026-03-09 00:00:00+00:00,Mar 09
76,214.19,215.65,212.43,214.33,35582400.0,215.65,212.43,214.33,214.19,35678834.0,1.0,0.0,AMZN,XNAS,2026-03-10 00:00:00+00:00,Mar 10
71,215.71,217.0,211.35,212.65,34006300.0,217.0,211.35,212.65,215.705,34199303.0,1.0,0.0,AMZN,XNAS,2026-03-11 00:00:00+00:00,Mar 11
66,210.33,211.71,208.15,209.53,44067157.0,211.71,208.15,209.53,210.39,44349501.0,1.0,0.0,AMZN,XNAS,2026-03-12 00:00:00+00:00,Mar 12
61,209.4,210.56,206.22,207.67,34201623.0,210.56,206.22,207.67,209.605,35662137.0,1.0,0.0,AMZN,XNAS,2026-03-13 00:00:00+00:00,Mar 13
56,208.35,212.724,207.445,211.74,42137043.0,212.724,207.445,211.74,208.35,42209316.0,1.0,0.0,AMZN,XNAS,2026-03-16 00:00:00+00:00,Mar 16
51,212.885,215.7,212.43,215.2,41662109.0,215.7,212.43,215.2,212.82,44969943.0,1.0,0.0,AMZN,XNAS,2026-03-17 00:00:00+00:00,Mar 17
46,213.96,215.1401,208.83,209.87,37711795.0,215.1401,208.825,209.87,213.925,37846642.0,1.0,0.0,AMZN,XNAS,2026-03-18 00:00:00+00:00,Mar 18
41,207.06,209.12,206.06,208.76,35932990.0,209.12,206.05,208.76,207.06,36440622.0,1.0,0.0,AMZN,XNAS,2026-03-19 00:00:00+00:00,Mar 19
36,207.5,207.5399,204.316,205.37,55381136.0,207.54,204.316,205.37,207.4,63694603.0,1.0,0.0,AMZN,XNAS,2026-03-20 00:00:00+00:00,Mar 20
31,209.78,212.8,209.51,210.14,43926097.0,212.8,209.51,210.14,209.79,44277356.0,1.0,0.0,AMZN,XNAS,2026-03-23 00:00:00+00:00,Mar 23
26,207.885,209.35,206.64,207.24,34266291.0,209.35,206.64,207.24,207.95,35351425.0,1.0,0.0,AMZN,XNAS,2026-03-24 00:00:00+00:00,Mar 24
21,211.62,213.07,209.9,211.71,35103651.0,213.07,209.9,211.71,211.56,36388791.0,1.0,0.0,AMZN,XNAS,2026-03-25 00:00:00+00:00,Mar 25
16,210.57,212.885,207.12,207.54,45915765.0,212.885,207.12,207.54,210.61,46745978.0,1.0,0.0,AMZN,XNAS,2026-03-26 00:00:00+00:00,Mar 26
11,206.325,206.42,199.14,199.34,55772474.0,206.6,199.14,199.34,206.455,56009763.0,1.0,0.0,AMZN,XNAS,2026-03-27 00:00:00+00:00,Mar 27
6,201.35,203.8,199.9802,200.95,42710345.0,203.8,199.9802,200.95,201.48,46373797.0,1.0,0.0,AMZN,XNAS,2026-03-30 00:00:00+00:00,Mar 30
1,204.875,210.28,204.14,208.27,57843337.0,210.28,204.14,208.27,204.845,58470078.0,1.0,0.0,AMZN,XNAS,2026-03-31 00:00:00+00:00,Mar 31
107,302.93,308.14,301.06,306.36,21789144.0,308.14,301.06,306.36,302.965,21854368.0,1.0,0.0,GOOG,XNAS,2026-03-02 00:00:00+00:00,Mar 02
102,298.192,303.94,296.6994,303.56,19747708.0,303.94,296.6994,303.56,298.42,20361131.0,1.0,0.0,GOOG,XNAS,2026-03-03 00:00:00+00:00,Mar 03
97,302.72,305.46,300.8,303.45,19892189.0,305.46,300.8,303.45,302.685,20015599.0,1.0,0.0,GOOG,XNAS,2026-03-04 00:00:00+00:00,Mar 04
92,303.09,303.37,298.07,300.91,22541297.0,303.37,298.07,300.91,303.2,22643883.0,1.0,0.0,GOOG,XNAS,2026-03-05 00:00:00+00:00,Mar 05
87,296.072,300.33,295.27,298.3,17410318.0,300.33,295.25,298.3,296.072,17598003.0,1.0,0.0,GOOG,XNAS,2026-03-06 00:00:00+00:00,Mar 06
